_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
796,250912-114,2025-09-12T00:00:00,40003109638,Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (citur neklasificētu pakalpojumu jomā),Būvniecība / Nekustamais īpašums,1890.000,1890.000,"","",,2025-09-28T00:00:00,"","Nēģu iela 7, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426617160
797,250801-196,2025-08-01T00:00:00,40103023035,SANTEHNIĶIS,Pakalpojumi,8.300,8.300,Viena vesela slodze,Maiņu darbs,40,2025-09-30T00:00:00,"","Ziepniekkalna iela 70, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422351772
798,250829-110,2025-08-29T00:00:00,40103023035,PROJEKTĒŠANAS INŽENIERIS,Pakalpojumi,2100.000,2100.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-22T00:00:00,"","Zigfrīda Annas Meierovica bulvāris 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425047947
799,250901-93,2025-09-01T00:00:00,40103023035,REMONTATSLĒDZNIEKS,Pakalpojumi,8.910,8.910,Viena vesela slodze,Summētais darba laiks,40,2025-09-28T00:00:00,"","Ilzenes iela 1E, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425207252
800,250901-95,2025-09-01T00:00:00,40103023035,Ārējo ūdensapgādes un kanalizācijas tīklu MONTĒTĀJS,Pakalpojumi,9.010,13.000,Viena vesela slodze,Summētais darba laiks,40,2025-09-29T00:00:00,"","Bauskas iela 209, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425208280
801,250901-141,2025-09-01T00:00:00,40103023035,REMONTATSLĒDZNIEKS,Ražošana,1405.000,1405.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Bauskas iela 209, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425228436
802,250911-57,2025-09-11T00:00:00,40103023035,Energosistēmu INŽENIERIS/ EnergoPĀRVALDNIEKS,Pakalpojumi,2000.000,2000.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-01T00:00:00,"","Zigfrīda Annas Meierovica bulvāris 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426470455
803,250911-66,2025-09-11T00:00:00,40103023035,EKSKAVATORA VADĪTĀJS,Pakalpojumi,9.010,13.000,Viena vesela slodze,Summētais darba laiks,40,2025-10-10T00:00:00,"","Ilzenes iela 1D, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426475086
804,250911-62,2025-09-11T00:00:00,40103023035,INŽENIERTEHNISKO BŪVJU REMONTA STRĀDNIEKS,Pakalpojumi,8.000,8.000,Viena vesela slodze,"",40,2025-10-03T00:00:00,"","Ziepniekkalna iela 70, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426474254
805,250911-126,2025-09-11T00:00:00,40103023035,REMONTATSLĒDZNIEKS,Pakalpojumi,8.600,8.600,Viena vesela slodze,Summētais darba laiks,40,2025-09-28T00:00:00,"","Ilzenes iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426505085
