_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
1047,250825-113,2025-08-25T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.030,8.030,Viena vesela slodze,Summētais darba laiks,,2025-09-25T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424553639
1048,250825-119,2025-08-25T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,5.250,5.250,Viena vesela slodze,Summētais darba laiks,,2025-09-25T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424557742
1049,250829-77,2025-08-29T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.030,8.030,Viena vesela slodze,Summētais darba laiks,,2025-09-29T00:00:00,"","Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425034877
1050,250829-122,2025-08-29T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.039,8.039,Viena vesela slodze,Maiņu darbs,,2025-09-29T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425053746
1051,250829-132,2025-08-29T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,5.270,5.850,"","",,2025-09-29T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425060232
1052,250901-61,2025-09-01T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,4.760,5.250,Viena vesela slodze,Summētais darba laiks,,2025-10-01T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425183141
1053,250901-62,2025-09-01T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,5.250,5.250,Nepilna slodze,Nepilnais darba laiks,,2025-10-01T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425184877
1054,250919-119,2025-09-19T00:00:00,40003951628,INFEKTOLOGS,Veselības aprūpe / Sociālā aprūpe,2014.000,2014.000,Viena vesela slodze,Normālais darba laiks,,2025-10-19T00:00:00,"","Linezera iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427318632
1055,250901-89,2025-09-01T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.390,8.390,Viena vesela slodze,Summētais darba laiks,,2025-10-01T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425203645
1056,250919-159,2025-09-19T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,795.000,795.000,Viena vesela slodze,Normālais darba laiks,,2025-10-19T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427342960
1057,250902-120,2025-09-02T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,4.760,5.250,Viena vesela slodze,Summētais darba laiks,,2025-10-02T00:00:00,"","Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425383124
1058,250902-186,2025-09-02T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.030,8.030,Viena vesela slodze,Summētais darba laiks,,2025-10-02T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425427454
1059,250903-3,2025-09-03T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,4.760,5.250,Viena vesela slodze,Summētais darba laiks,,2025-10-02T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425454666
1060,250903-31,2025-09-03T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.030,8.030,Viena vesela slodze,"",,2025-10-03T00:00:00,"","Lielvārdes iela 68, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425483268
1061,250903-35,2025-09-03T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,5.570,5.570,Viena vesela slodze,Summētais darba laiks,,2025-09-24T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425487322
1062,250903-112,2025-09-03T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,1145.000,1145.000,Viena vesela slodze,"",,2025-09-24T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425568815
1063,250904-2,2025-09-04T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1342.000,1342.000,Viena vesela slodze,"",,2025-10-04T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425626990
1064,250904-70,2025-09-04T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1527.000,1527.000,Viena vesela slodze,Normālais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425685192
1065,250904-138,2025-09-04T00:00:00,40003951628,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,2330.000,2330.000,Viena vesela slodze,Normālais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425749211
1066,250904-144,2025-09-04T00:00:00,40003951628,KARDIOLOGS,Veselības aprūpe / Sociālā aprūpe,2330.000,2330.000,Viena vesela slodze,Normālais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425751320
1067,250904-146,2025-09-04T00:00:00,40003951628,INTERNISTS,Veselības aprūpe / Sociālā aprūpe,2330.000,2330.000,Viena vesela slodze,Normālais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425752667
1068,250904-181,2025-09-04T00:00:00,40003951628,AMBULATORĀS APRŪPES ĀRSTA PALĪGS,Veselības aprūpe / Sociālā aprūpe,1552.000,1552.000,Viena vesela slodze,Normālais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425774465
1069,250904-186,2025-09-04T00:00:00,40003951628,INTERNISTS,Veselības aprūpe / Sociālā aprūpe,12.070,12.070,Nepilna slodze,Nepilnais darba laiks,,2025-10-04T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425775374
1070,250905-4,2025-09-05T00:00:00,40003951628,INTERNISTS,Veselības aprūpe / Sociālā aprūpe,12.070,12.070,Nepilna slodze,Summētais darba laiks,,2025-10-05T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425800529
1071,250905-99,2025-09-05T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1552.000,1552.000,Viena vesela slodze,Normālais darba laiks,,2025-10-05T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425870819
1072,250905-129,2025-09-05T00:00:00,40003951628,KLIENTU APKALPOŠANAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS,Cita,3000.000,3300.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"",Hipokrāta ielā 2 Rīgā un citos RAKUS stacionāros Rīgā,https://cvvp.nva.gov.lv/#/pub/vakances/425908731
1073,250905-149,2025-09-05T00:00:00,40003951628,KLIENTU APKALPOŠANAS OPERATORS,Cita,950.000,1050.000,Viena vesela slodze,Normālais darba laiks,,2025-10-05T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425921757
1074,250908-3,2025-09-08T00:00:00,40003951628,NOLIKTAVAS PĀRZINIS,Transports / Loģistika,2090.000,2090.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425968088
1075,250908-27,2025-09-08T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,5.270,5.850,Viena vesela slodze,Summētais darba laiks,,2025-10-08T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425990112
1076,250908-127,2025-09-08T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1262.000,1262.000,Viena vesela slodze,Normālais darba laiks,,2025-10-08T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426048318
1077,250908-123,2025-09-08T00:00:00,40003951628,SISTĒMANALĪTIĶIS,Informācijas tehnoloģijas / Telekomunikācijas,3200.000,3500.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426046826
1078,250908-165,2025-09-08T00:00:00,40003951628,RADIOGRĀFERS,Veselības aprūpe / Sociālā aprūpe,9.060,10.760,Viena vesela slodze,Summētais darba laiks,,2025-10-08T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426073039
1079,250908-174,2025-09-08T00:00:00,40003951628,LABORATORIJAS ĀRSTS,Veselības aprūpe / Sociālā aprūpe,2250.000,2610.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426075242
1080,250908-210,2025-09-08T00:00:00,40003951628,ĀRSTS,Veselības aprūpe / Sociālā aprūpe,12.060,12.060,Nepilna slodze,Summētais darba laiks,,2025-10-08T00:00:00,"","Linezera iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426090915
1081,250909-116,2025-09-09T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,4.760,4.760,Viena vesela slodze,Summētais darba laiks,,2025-09-29T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426208913
1082,250909-120,2025-09-09T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,5.250,5.250,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Juglas iela 20, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426211773
1083,250909-130,2025-09-09T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1402.000,1402.000,Viena vesela slodze,Normālais darba laiks,,2025-10-09T00:00:00,"","Upeslejas, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426217888
1084,250909-155,2025-09-09T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,6.150,6.730,Viena vesela slodze,Summētais darba laiks,,2025-10-09T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426240916
1085,250915-3,2025-09-15T00:00:00,40003342456,Informācijas sistēmu TESTĒTĀJS,Informācijas tehnoloģijas / Telekomunikācijas,2100.000,2100.000,Viena vesela slodze,"",,2025-09-28T00:00:00,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426689199
1086,250903-81,2025-09-03T00:00:00,90001262846,PAŠVALDĪBAS POLICIJAS JAUNĀKAIS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1400.000,1600.000,Viena vesela slodze,Summētais darba laiks,,2025-12-31T00:00:00,"","Rīgas iela 30, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425544453
1087,250908-62,2025-09-08T00:00:00,90001262846,PAŠVALDĪBAS POLICIJAS JAUNĀKAIS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1400.000,1600.000,Viena vesela slodze,Summētais darba laiks,,2025-12-31T00:00:00,"","Rīgas iela 30, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426007970
1088,250730-160,2025-07-30T00:00:00,40900038646,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,1080.000,1080.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-31T00:00:00,"","Namiņš, Lejasstrazdi, Dobeles pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422065384
1089,250903-141,2025-09-03T00:00:00,40900038646,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,980.000,980.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Edgara Francmaņa iela 6, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425595842
1090,250902-114,2025-09-03T00:00:00,90009115092,PEDAGOGS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,"",,2025-10-01T00:00:00,"","Bērzupītes, Annenieku pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425380614
1091,250905-20,2025-09-05T00:00:00,90009115092,PEDAGOGA PALĪGS,Izglītība / Zinātne,1400.000,1400.000,Viena vesela slodze,"",,2025-11-30T00:00:00,"","Dzirnavu iela 4, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425815232
1092,250905-35,2025-09-05T00:00:00,90009115092,PEDAGOGS,Transports / Loģistika,1175.000,1175.000,Nepilna slodze,"",,2025-09-30T00:00:00,"","Katoļu iela 1, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425820319
1093,250905-31,2025-09-05T00:00:00,90009115092,PEDAGOGS,Izglītība / Zinātne,1175.000,1175.000,Nepilna slodze,"",,2025-09-30T00:00:00,"","Katoļu iela 1, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425819014
1094,250912-71,2025-09-12T00:00:00,90009115092,SPORTA PASĀKUMU ORGANIZATORS,Cita,1475.000,1475.000,Viena vesela slodze,"",,2025-10-01T00:00:00,"","Brīvības iela 15, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426600679
1095,250916-14,2025-09-16T00:00:00,90009115092,Pamatdarbības atbalsta struktūrvienības VADĪTĀJS/ DIREKTORS,Veselības aprūpe / Sociālā aprūpe,1600.000,1600.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lejasstrazdi, Dobeles pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426841467
1096,250919-125,2025-09-19T00:00:00,90009115622,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,329.000,493.500,Nepilna slodze,Nepilnais darba laiks,,2025-09-29T00:00:00,"","Bērzpils iela 1A, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427324436
1097,250909-173,2025-09-10T00:00:00,90009115622,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1200.000,1200.000,Viena vesela slodze,"",,2025-09-26T00:00:00,"","Raiņa iela 52, Balvi, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426252247
1098,250902-24,2025-09-02T00:00:00,90002065000,ĢEODĒZISTS,Valsts pārvalde,1130.000,1380.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425313247
1099,250902-41,2025-09-02T00:00:00,90002065000,ARHĪVISTS,Valsts pārvalde,1130.000,1380.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425319816
1100,250902-31,2025-09-02T00:00:00,90002065000,KARTOGRĀFS,Valsts pārvalde,1130.000,1380.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425315963
1101,250902-35,2025-09-02T00:00:00,90002065000,KARTOGRĀFS,Valsts pārvalde,1130.000,1380.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425318530
1102,250902-38,2025-09-02T00:00:00,90002065000,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,1300.000,1590.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425319276
1103,250902-37,2025-09-02T00:00:00,90002065000,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,1300.000,1590.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425319031
1104,250918-90,2025-09-18T00:00:00,90002065000,EKSPERTS,Valsts pārvalde,1130.000,1380.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-09T00:00:00,"","Ojāra Vācieša iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427189022
1105,250908-146,2025-09-08T00:00:00,90000039272,PĀRVALDES VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Izglītība / Zinātne,2191.000,2191.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-30T00:00:00,"","Krišjāņa Valdemāra iela 139, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426061393
1106,250910-39,2025-09-10T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1552.000,1552.000,Viena vesela slodze,Normālais darba laiks,,2025-10-10T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426316481
1107,250910-75,2025-09-10T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,4.760,4.760,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426344715
1108,250910-113,2025-09-10T00:00:00,40003951628,FIZIOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1483.000,1483.000,Viena vesela slodze,Normālais darba laiks,,2025-10-10T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426366223
1109,250910-163,2025-09-10T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,1027.000,1027.000,Viena vesela slodze,Normālais darba laiks,,2025-10-10T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426394482
1110,250911-68,2025-09-11T00:00:00,40003951628,ADMINISTRATORS,Cita,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426475567
1111,250911-73,2025-09-11T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,5.250,5.250,Nepilna slodze,Summētais darba laiks,,2025-10-02T00:00:00,"","Linezera iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426477765
1112,250912-44,2025-09-12T00:00:00,40003951628,PROJEKTA VADĪTĀJS,Cita,2420.000,2420.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426582979
1113,250912-85,2025-09-12T00:00:00,40003951628,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,1109.000,1109.000,Viena vesela slodze,Normālais darba laiks,,2025-10-12T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426604594
1114,250912-156,2025-09-12T00:00:00,40003951628,FIZIKAS TEHNIĶIS,Cita,1475.000,1475.000,Viena vesela slodze,Normālais darba laiks,,2025-10-12T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426644291
1115,250912-166,2025-09-12T00:00:00,40003951628,REIMATOLOGS,Veselības aprūpe / Sociālā aprūpe,12.070,12.070,Nepilna slodze,Nepilnais darba laiks,,2025-10-12T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426646539
1116,250915-51,2025-09-15T00:00:00,40003951628,MEDICĪNAS IEKĀRTU INŽENIERIS,Cita,1645.000,1645.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426740670
1117,250915-53,2025-09-15T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.039,8.039,"","",,2025-10-15T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426743579
1118,250915-113,2025-09-15T00:00:00,40003951628,KARDIOLOGS,Veselības aprūpe / Sociālā aprūpe,2142.000,2142.000,Viena vesela slodze,Normālais darba laiks,,2025-10-15T00:00:00,"","Juglas iela 20, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426781894
1119,250915-117,2025-09-15T00:00:00,40003951628,"SILTUMAPGĀDES, VENTILĀCIJAS UN SALDĒŠANAS TEHNIĶIS",Cita,1015.000,1015.000,Viena vesela slodze,Normālais darba laiks,,2025-10-15T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426783819
1120,250915-124,2025-09-15T00:00:00,40003951628,KLIENTU APKALPOŠANAS SPECIĀLISTS,Cita,950.000,1050.000,Viena vesela slodze,Normālais darba laiks,,2025-10-15T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426789287
1121,250915-134,2025-09-15T00:00:00,40003951628,ELEKTROINŽENIERIS,Elektronika / Enerģētika / Elektroenerģija,1280.000,1280.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426796499
1122,250916-169,2025-09-16T00:00:00,40003951628,MEDICĪNAS FIZIKĀLO TEHNOLOĢIJU INŽENIERIS,Veselības aprūpe / Sociālā aprūpe,1645.000,1645.000,Viena vesela slodze,Normālais darba laiks,,2025-10-07T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426906175
1123,250916-170,2025-09-16T00:00:00,40003951628,"ANESTEZIOLOGS, REANIMATOLOGS",Veselības aprūpe / Sociālā aprūpe,15.100,18.460,Viena vesela slodze,Summētais darba laiks,,2025-10-16T00:00:00,"","Linezera iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426907951
1124,250916-174,2025-09-16T00:00:00,40003951628,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,1027.000,1027.000,Viena vesela slodze,Normālais darba laiks,,2025-10-16T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426910431
1125,250917-18,2025-09-17T00:00:00,40003951628,VALDES VADĪTĀJS /PRIEKŠSĒDĒTĀJS,Vadība / Administrēšana,10953.000,10953.000,"","",,2025-10-07T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426990837
1126,250917-79,2025-09-17T00:00:00,40003951628,ONKOLOGS ĶĪMIJTERAPEITS,Veselības aprūpe / Sociālā aprūpe,14.370,14.370,Viena vesela slodze,Summētais darba laiks,,2025-10-17T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427037374
1127,250918-67,2025-09-18T00:00:00,40003951628,ELEKTRIĶIS,Elektronika / Enerģētika / Elektroenerģija,5.030,5.030,Viena vesela slodze,Summētais darba laiks,,2025-10-18T00:00:00,"","Hipokrāta iela 2 un Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427165792
1128,250918-70,2025-09-18T00:00:00,40003951628,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,9.290,9.290,Viena vesela slodze,"",,2025-10-18T00:00:00,"","Hipokrāta iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427167165
1129,250918-80,2025-09-18T00:00:00,40003951628,Būvniecības projektu VADĪTĀJS,Būvniecība / Nekustamais īpašums,3020.000,3310.000,Viena vesela slodze,Normālais darba laiks,,2025-10-02T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427176622
1130,250918-82,2025-09-18T00:00:00,40003951628,JURISTS,Jurisprudence / Tieslietas,2090.000,2090.000,Viena vesela slodze,Normālais darba laiks,,2025-09-27T00:00:00,"","Hipokrāta iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427179367
1131,250901-36,2025-09-01T00:00:00,90009235333,PERSONĀLA SPECIĀLISTS,Vadība / Administrēšana,1300.000,1600.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lejupes iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425157506
1132,250903-142,2025-09-03T00:00:00,90009235333,LABORATORIJAS SPECIĀLISTS,Valsts pārvalde,800.000,1000.000,"","",,2025-09-30T00:00:00,"","Lejupes iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425596638
1133,250826-49,2025-08-26T00:00:00,90000056484,ĢEODĒZIJAS INŽENIERIS,Valsts pārvalde,1600.000,1700.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424630680
1134,250825-106,2025-08-25T00:00:00,90000056484,AINAVU ARHITEKTS,Valsts pārvalde,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/424545337
1135,250903-158,2025-09-04T00:00:00,90000056484,PROJEKTA VADĪTĀJS,Valsts pārvalde,1860.000,1860.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425604333
1136,250908-160,2025-09-08T00:00:00,90000056484,SABIEDRĪBAS PĀRVALDES SPECIĀLISTS,Valsts pārvalde,1600.000,1600.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426068422
